GeneID	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCCZ	HHCGC	HHCGS
jgi.p|Neosp1|516906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516915	18.46	15.35	16.06	22.46	23.31	26.74	16.99	20.69	22.02	18.77	35.19	14.75	20.58	22.54	11.95	26.88	13.91	10.24
jgi.p|Neosp1|516916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516925	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.33	0.0	0.13	0.0	0.0	0.28	0.0	0.0
jgi.p|Neosp1|516931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0
jgi.p|Neosp1|516933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0
jgi.p|Neosp1|516935	0.97	0.64	0.35	2.62	1.81	0.75	1.15	0.84	2.0	2.99	1.99	0.78	1.83	1.68	0.65	1.27	0.38	0.35
jgi.p|Neosp1|516936	0.05	0.0	0.63	0.38	0.43	0.37	0.42	0.21	0.58	0.45	0.37	0.44	0.34	0.89	0.08	0.84	0.25	0.06
jgi.p|Neosp1|516937	0.28	0.23	0.16	1.09	0.74	0.0	0.65	0.59	0.0	0.92	1.41	0.16	0.41	0.32	0.92	1.2	0.36	0.5
jgi.p|Neosp1|516938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
jgi.p|Neosp1|516940	2.34	3.38	2.55	4.0	4.93	3.29	5.51	3.83	3.7	3.72	3.28	2.3	3.82	5.25	2.6	3.1	0.84	0.26
jgi.p|Neosp1|516941	0.0	0.0	0.0	0.07	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08
jgi.p|Neosp1|516945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516951	0.0	0.0	0.04	0.0	0.01	0.0	0.05	0.16	0.07	0.04	0.0	0.24	0.07	0.07	0.07	0.0	0.0	0.0
jgi.p|Neosp1|516952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|516953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
