GeneID	HHCCZ	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCGC	HHCGS
jgi.p|Neosp1|48629	81	372	154	353	363	477	162	402	200	343	293	135	430	469	377	219	99	41
jgi.p|Neosp1|48740	2	19	9	23	11	10	7	24	7	15	7	24	43	29	10	11	0	2
jgi.p|Neosp1|49029	55	98	61	73	117	119	41	108	42	100	59	37	36	89	99	46	42	15
jgi.p|Neosp1|49147	36	128	65	66	42	47	14	65	23	45	37	79	96	75	68	52	211	413
jgi.p|Neosp1|49311	3	4	2	2	7	7	1	4	1	2	3	2	4	0	2	3	3	0
jgi.p|Neosp1|49410	33	67	46	54	79	72	3	16	1	4	6	19	6	24	3	1	192	194
jgi.p|Neosp1|49462	33	37	24	35	107	130	45	153	56	134	77	86	63	98	76	34	3	3
jgi.p|Neosp1|49584	7	68	54	105	76	115	90	449	163	152	218	49	329	177	174	186	7	5
jgi.p|Neosp1|49612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498410	1	0	1	0	0	0	0	1	0	2	1	0	0	1	1	0	0	0
jgi.p|Neosp1|498411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498412	533	242	103	204	17	67	6	39	16	12	16	36	7	22	14	16	445	301
jgi.p|Neosp1|498414	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
jgi.p|Neosp1|498415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498422	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
jgi.p|Neosp1|498424	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498430	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498432	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498452	28	30	20	36	73	108	48	122	46	90	52	47	74	103	82	22	27	7
jgi.p|Neosp1|498455	70	69	23	50	94	133	17	65	20	66	56	47	66	77	67	40	33	12
jgi.p|Neosp1|498458	0	2	0	0	0	1	4	2	0	3	2	6	6	4	3	3	0	0
jgi.p|Neosp1|498459	0	3	0	0	0	1	0	2	1	2	4	2	10	7	4	8	0	0
jgi.p|Neosp1|498460	20	115	63	72	100	145	15	97	40	63	56	56	61	96	71	74	19	8
jgi.p|Neosp1|498463	37	50	46	72	106	138	77	316	112	152	207	102	127	158	127	59	126	180
jgi.p|Neosp1|498472	26	50	27	36	59	86	32	53	21	59	48	65	42	63	39	25	29	11
jgi.p|Neosp1|498474	20	6	2	4	1	1	5	37	22	30	15	24	82	38	15	0	20	70
jgi.p|Neosp1|498477	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0
jgi.p|Neosp1|498484	0	25	7	31	11	31	30	114	56	77	69	49	193	86	48	95	2	2
jgi.p|Neosp1|498485	1	3	3	13	1	5	2	21	10	14	18	5	30	8	7	16	0	1
jgi.p|Neosp1|498491	0	1	1	1	0	4	1	5	3	11	5	1	20	7	6	0	0	0
jgi.p|Neosp1|498499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498543	400	673	523	862	819	1245	278	974	446	819	612	182	481	761	638	368	317	460
jgi.p|Neosp1|498555	14	22	16	45	18	42	9	30	8	27	15	12	32	42	19	16	10	3
jgi.p|Neosp1|498565	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498578	0	0	0	0	0	1	2	2	4	2	5	2	12	6	3	1	0	0
jgi.p|Neosp1|498580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
jgi.p|Neosp1|498581	16	25	31	67	57	37	13	37	25	34	24	26	19	37	50	11	4	4
jgi.p|Neosp1|498583	7	0	0	2	11	19	5	10	5	28	8	8	14	18	38	3	26	21
jgi.p|Neosp1|498585	97	53	28	56	131	114	34	118	58	116	83	73	68	158	127	26	93	53
jgi.p|Neosp1|498590	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498591	0	1	3	14	5	3	1	9	12	4	3	7	0	2	1	2	0	0
jgi.p|Neosp1|498608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
