query_seq_id,subject_seq_id,percent_identity,Query Coverage Per HSP
374417.0,1011.0,96.454,100.0
375811.0,3729.0,100.0,100.0
671099.0,8446.0,100.0,100.0
671110.0,8589.0,99.709,100.0
384601.0,13230.0,100.0,100.0
14548.0,14548.0,100.0,100.0
384765.0,15314.0,100.0,100.0
671467.0,18594.0,100.0,100.0
671684.0,22700.0,97.585,100.0
672056.0,33580.0,100.0,100.0
672266.0,37820.0,100.0,100.0
376187.0,39163.0,100.0,100.0
672374.0,41952.0,100.0,100.0
49410.0,49410.0,100.0,100.0
376320.0,51681.0,100.0,100.0
673011.0,58399.0,92.523,98.0
511505.0,58603.0,97.537,100.0
62769.0,62769.0,100.0,100.0
422192.0,64513.0,100.0,100.0
387068.0,68506.0,100.0,100.0
664877.0,70248.0,100.0,100.0
664878.0,70299.0,100.0,100.0
376651.0,71066.0,100.0,90.0
512439.0,76865.0,100.0,100.0
387572.0,80006.0,93.111,100.0
377013.0,92306.0,98.885,99.0
665329.0,94006.0,100.0,76.0
380597.0,94523.0,99.194,96.0
388270.0,94523.0,100.0,96.0
394584.0,98242.0,100.0,100.0
374596.0,99543.0,100.0,100.0
674520.0,102822.0,100.0,100.0
388671.0,103716.0,100.0,100.0
674652.0,104754.0,100.0,100.0
513978.0,105765.0,100.0,100.0
377317.0,107911.0,94.142,100.0
388995.0,109913.0,100.0,90.0
389124.0,112373.0,100.0,100.0
675159.0,115554.0,100.0,100.0
387676.0,116479.0,95.095,100.0
390054.0,128326.0,100.0,100.0
462894.0,129316.0,91.422,100.0
390204.0,130790.0,100.0,100.0
665866.0,132180.0,100.0,97.0
515656.0,133806.0,98.084,95.0
390536.0,139307.0,100.0,100.0
676311.0,142117.0,99.907,93.0
676651.0,150569.0,100.0,100.0
391117.0,150710.0,100.0,100.0
676705.0,151316.0,100.0,100.0
676720.0,151496.0,100.0,100.0
666289.0,153645.0,100.0,100.0
391465.0,161279.0,100.0,76.0
390800.0,166397.0,98.039,79.0
169057.0,169058.0,95.767,100.0
677425.0,173838.0,97.287,81.0
677696.0,186190.0,99.653,99.0
392251.0,186656.0,97.808,89.0
677720.0,186724.0,100.0,77.0
186952.0,186953.0,100.0,100.0
677779.0,189143.0,96.97,85.0
677834.0,189957.0,100.0,100.0
667108.0,194091.0,100.0,100.0
667135.0,194538.0,100.0,100.0
667138.0,194610.0,100.0,100.0
663524.0,198365.0,96.454,99.0
503821.0,199180.0,100.0,100.0
379363.0,199364.0,100.0,100.0
504047.0,204645.0,100.0,99.0
374827.0,207822.0,100.0,100.0
504200.0,209221.0,99.01,83.0
667580.0,213030.0,98.837,100.0
379875.0,214487.0,100.0,100.0
379990.0,216413.0,97.775,100.0
379999.0,216413.0,95.157,100.0
380005.0,216679.0,100.0,100.0
375092.0,221276.0,100.0,100.0
678662.0,223283.0,100.0,100.0
380300.0,223782.0,95.781,92.0
667957.0,223908.0,90.707,100.0
667964.0,223999.0,100.0,98.0
504939.0,225847.0,100.0,100.0
93749.0,229883.0,97.368,75.0
393411.0,230365.0,100.0,100.0
234118.0,234118.0,100.0,100.0
668395.0,235517.0,99.933,79.0
375251.0,240529.0,100.0,100.0
376844.0,242504.0,100.0,100.0
669030.0,250092.0,93.578,100.0
375298.0,253706.0,100.0,80.0
375398.0,255192.0,100.0,94.0
663960.0,269287.0,100.0,100.0
382667.0,273991.0,100.0,100.0
670127.0,278354.0,97.423,100.0
383566.0,287975.0,100.0,100.0
383289.0,300694.0,100.0,90.0
509432.0,304814.0,100.0,77.0
376739.0,306518.0,100.0,97.0
376531.0,322009.0,100.0,90.0
394173.0,340077.0,100.0,82.0
392136.0,366694.0,100.0,100.0
374376.0,374377.0,100.0,100.0
374403.0,374403.0,100.0,100.0
374429.0,374429.0,100.0,100.0
374430.0,374433.0,100.0,100.0
374434.0,374437.0,100.0,100.0
374442.0,374445.0,100.0,100.0
374463.0,374463.0,100.0,100.0
374530.0,374533.0,100.0,100.0
374579.0,374580.0,100.0,100.0
374588.0,374589.0,99.887,100.0
374618.0,374620.0,100.0,99.0
374683.0,374685.0,100.0,100.0
374513.0,374736.0,100.0,100.0
374766.0,374768.0,100.0,100.0
374846.0,374846.0,100.0,100.0
374999.0,374999.0,100.0,100.0
375009.0,375009.0,100.0,100.0
375010.0,375010.0,100.0,100.0
375459.0,375459.0,100.0,100.0
375638.0,375638.0,100.0,100.0
375708.0,375710.0,100.0,100.0
375792.0,375792.0,100.0,100.0
375829.0,375829.0,100.0,100.0
375867.0,375867.0,100.0,100.0
375947.0,375947.0,100.0,100.0
375965.0,375965.0,100.0,100.0
375970.0,375970.0,100.0,100.0
375971.0,375973.0,100.0,100.0
376263.0,376263.0,100.0,100.0
376268.0,376268.0,100.0,100.0
376295.0,376295.0,100.0,100.0
376525.0,376525.0,100.0,100.0
376593.0,376594.0,100.0,100.0
376626.0,376627.0,100.0,100.0
376767.0,376767.0,100.0,100.0
376918.0,376920.0,100.0,100.0
377053.0,377056.0,100.0,100.0
377081.0,377083.0,100.0,100.0
377127.0,377127.0,100.0,100.0
377220.0,377222.0,100.0,100.0
377251.0,377252.0,100.0,100.0
377303.0,377304.0,100.0,100.0
377433.0,377435.0,100.0,100.0
377455.0,377455.0,100.0,100.0
377477.0,377479.0,100.0,100.0
377568.0,377568.0,100.0,100.0
389858.0,377568.0,99.882,100.0
377731.0,377732.0,100.0,100.0
377779.0,377779.0,100.0,100.0
377782.0,377782.0,100.0,100.0
377910.0,377911.0,100.0,100.0
378152.0,378154.0,100.0,100.0
378186.0,378187.0,100.0,100.0
378237.0,378238.0,100.0,100.0
378251.0,378250.0,96.421,100.0
378313.0,378314.0,100.0,100.0
378441.0,378443.0,100.0,100.0
378564.0,378564.0,100.0,100.0
378670.0,378672.0,100.0,100.0
378699.0,378699.0,100.0,100.0
378719.0,378721.0,100.0,100.0
378749.0,378751.0,100.0,100.0
378809.0,378809.0,100.0,100.0
378871.0,378872.0,99.813,100.0
379136.0,379137.0,100.0,100.0
379139.0,379140.0,100.0,100.0
379150.0,379151.0,100.0,100.0
379163.0,379163.0,100.0,100.0
379239.0,379239.0,100.0,100.0
379313.0,379315.0,100.0,100.0
379564.0,379564.0,100.0,100.0
379692.0,379692.0,100.0,100.0
379862.0,379863.0,100.0,100.0
379960.0,379962.0,100.0,100.0
380074.0,380076.0,100.0,100.0
380116.0,380117.0,100.0,100.0
380147.0,380149.0,100.0,100.0
380578.0,380578.0,100.0,100.0
380604.0,380606.0,100.0,100.0
380608.0,380610.0,100.0,100.0
380773.0,380774.0,100.0,100.0
505441.0,380785.0,96.364,85.0
380327.0,381016.0,99.679,100.0
381145.0,381145.0,100.0,100.0
381223.0,381223.0,100.0,100.0
381295.0,381295.0,100.0,100.0
381331.0,381332.0,100.0,100.0
381349.0,381349.0,100.0,100.0
381359.0,381359.0,100.0,100.0
381574.0,381575.0,100.0,100.0
381785.0,381785.0,100.0,100.0
381889.0,381889.0,100.0,100.0
381943.0,381945.0,100.0,100.0
381946.0,381947.0,100.0,100.0
382011.0,382013.0,100.0,100.0
382173.0,382173.0,100.0,100.0
382340.0,382341.0,100.0,100.0
382578.0,382578.0,100.0,100.0
382595.0,382595.0,100.0,100.0
376464.0,382735.0,100.0,100.0
382808.0,382808.0,100.0,100.0
382861.0,382863.0,100.0,100.0
382908.0,382908.0,100.0,100.0
383092.0,383097.0,100.0,100.0
383222.0,383222.0,100.0,100.0
383258.0,383260.0,100.0,100.0
383320.0,383322.0,100.0,100.0
383338.0,383338.0,100.0,100.0
383375.0,383375.0,100.0,100.0
383447.0,383447.0,100.0,100.0
383518.0,383519.0,100.0,100.0
383662.0,383662.0,100.0,100.0
383665.0,383666.0,98.507,100.0
383735.0,383736.0,100.0,100.0
383783.0,383785.0,100.0,100.0
383808.0,383809.0,100.0,100.0
383850.0,383851.0,100.0,100.0
383935.0,383935.0,100.0,100.0
383942.0,383942.0,100.0,100.0
384008.0,384008.0,100.0,100.0
384090.0,384090.0,100.0,100.0
384113.0,384113.0,100.0,100.0
384269.0,384271.0,100.0,100.0
384556.0,384556.0,100.0,100.0
384565.0,384566.0,100.0,100.0
384739.0,384739.0,100.0,100.0
384745.0,384745.0,100.0,100.0
384804.0,384805.0,100.0,100.0
384928.0,384928.0,100.0,100.0
376989.0,384951.0,96.632,100.0
384950.0,384951.0,100.0,100.0
384989.0,384989.0,100.0,100.0
385234.0,385234.0,100.0,100.0
385414.0,385414.0,100.0,100.0
385461.0,385462.0,100.0,100.0
385502.0,385502.0,100.0,100.0
385611.0,385611.0,100.0,100.0
385767.0,385766.0,96.25,100.0
385894.0,385894.0,100.0,100.0
385908.0,385908.0,100.0,100.0
385980.0,385983.0,100.0,100.0
385984.0,385984.0,100.0,100.0
385992.0,385992.0,100.0,100.0
386070.0,386071.0,100.0,100.0
386192.0,386195.0,100.0,100.0
386237.0,386237.0,100.0,100.0
386386.0,386387.0,100.0,100.0
386453.0,386454.0,100.0,100.0
386501.0,386501.0,100.0,100.0
386514.0,386514.0,100.0,100.0
386645.0,386646.0,100.0,100.0
386730.0,386731.0,100.0,100.0
386736.0,386737.0,100.0,100.0
386739.0,386739.0,100.0,100.0
386889.0,386889.0,100.0,100.0
386945.0,386946.0,100.0,100.0
