"proteinID","baseMean","mat_vs_zoosp_log2FC","lfcSE","stat","pvalue","mat_vs_zoosp_Padj"
"100073",216.313247010686,-0.00998825941839903,0.317769581896236,-0.0314323962627127,0.97492470542743,0.981118863247972
"100224",2997.82642445602,-2.21645270166999,0.610315842298437,-3.63164864494239,0.000281616371748944,0.00103435150319294
"100258",8.2779355559993,2.97739987238696,1.8347259358149,1.62280361021033,0.104631393751979,0.174153071564752
"100266",22.8804159467503,-1.05147083499559,0.513875462023157,-2.04615887058684,0.040740742457096,0.0806928280023738
"100298",36.3818208312931,0.860979146594883,0.572198360337006,1.50468649733249,0.132404696186369,0.209903046894241
"100359",551.278327122606,0.408909662076793,0.237550868538673,1.72135620716631,0.0851862058194762,0.147930884299413
"100420",292.534913607367,-1.97844410520614,0.274334368071036,-7.21179821222341,5.52177611730666e-13,6.56752476392727e-12
"10045",4.09102900219938,-2.68777288767129,1.78890551951361,-1.50246777057409,0.132976345425603,0.210678447134026
"100480",11.0672876002488,1.7314752817169,0.960707417487665,1.80229198838171,0.0714994783603178,0.127925589989086
"100484",10.0170611642065,0.0724126012418398,0.974541019337158,0.0743043133177625,0.940768244990451,0.956482638102776
"100603",1384.33627514387,-1.17532015991273,0.301592225020509,-3.89705059483151,9.73712827836007e-05,0.000391983661117853
"100778",16.3498213842917,2.19912424761507,1.29601086535881,1.69684090341806,0.0897267432419725,0.153997566308086
"1008",16.168390061953,-1.35708606705857,1.08406966345628,-1.25184396612653,0.210626725972476,0.304168848684545
"100909",3.19852399274381,-2.5407800930656,0.939647399832429,-2.70397182338685,0.00685160987874394,0.0177017831763722
"101064",153.491065600005,1.0125868074552,1.26888435944835,0.798013467433258,0.424862674871819,0.529247038956705
"1011",37295.6484359267,-1.96330292385186,0.392179626471957,-5.00613186236549,5.55347203167214e-07,3.28246662281074e-06
"101253",13.3479993392941,5.06245806413532,2.12978361744555,2.37698234819141,0.0174549234002662,0.0395237049034481
"101463",22.3167862685622,1.83154494019741,0.802577755488362,2.28207787678208,0.0224847428799762,0.0491234972761071
"101469",74.27966543814,0.946698257568756,0.276804113067939,3.42010184413841,0.000625976956152532,0.00213600186634662
"101653",384.530829819928,0.618341870766337,0.263733190562858,2.34457358001348,0.0190488515150545,0.0425884542626891
"101675",32.4932598811791,-1.34930552269368,0.472118801559035,-2.85797879313001,0.0042634888434976,0.0116878768046157
"101801",45.0770849085397,0.665817980206546,0.729498956411453,0.912705870727812,0.361397255467193,0.466230479231817
"101826",0.10502090760522,-1.09667398717705,4.73366874970215,-0.231675270316718,0.816790240276163,NA
"101951",39.8424824347084,-1.95103298635534,0.478154591522864,-4.08033933155706,4.49700040291866e-05,0.000191914734811604
"102013",0.137012695679665,-0.904318958878579,4.73366874970215,-0.191039763594671,0.848494439982971,NA
"102107",256.536800582355,-2.65374408422524,0.498534830553275,-5.32308661619511,1.02021136079501e-07,6.63479737322393e-07
"102344",21.4259027828072,3.29370728699097,1.34063299264828,2.45682994902623,0.0140169018928288,0.0327286215280748
"102496",21.9795326674876,-1.86235481492621,1.13877181972574,-1.63540648149754,0.10196386459116,0.170644187890905
"102643",83.9728885495767,0.819480614721525,0.266966895540561,3.06959637471987,0.00214348236215547,0.00638856250258496
"102822",5.22129217873574,-2.64077424892705,1.68930342604847,-1.56323263672307,0.117997886248239,0.19156195724522
"102869",82.7988289362894,0.376149659261052,0.898802914847533,0.418500711387723,0.675581066535369,0.751356817937688
"103013",20.7258972018977,-0.409046561879341,0.524292145840938,-0.780188231168809,0.435280088545696,0.539206564792694
"103020",0.360870475647108,0.0400498619828895,3.65615174214518,0.0109541027855127,0.991260065297918,NA
"103030",3.30046049791081,1.65578335586686,2.18665173287877,0.75722316954744,0.448916171418618,0.552733336119166
"103046",110.065165943073,-0.761733011927268,0.210217939518626,-3.62353952127752,0.00029059877646353,0.00106402170364164
"103234",2.89627831386979,2.86263602618645,2.17252003832252,1.31765690336131,0.187618527542224,0.277885272810921
"103239",1.4367140076738,1.86489397277128,2.57326096503822,0.724720111216383,0.468623754662674,0.57005162535506
"103240",26.4062953279692,4.52801593376508,1.68756678335295,2.68316251447458,0.00729295412207659,0.0186692825567937
"103320",103.245517214872,-5.84240037937526,0.845303245207096,-6.91160292179394,4.79207660958116e-12,5.17638544194298e-11
"103335",60.7674969586184,1.15942365998104,0.369790474329039,3.13535296463421,0.00171647450308332,0.00524981145363748
"103418",2.1403080943755,-0.21235808326784,1.3066439647378,-0.162521764917388,0.870894990191724,0.903840074800181
"10357",194.460435778844,3.71107861704063,0.52663593798405,7.04676295211936,1.83127893591956e-12,2.06904375249677e-11
"103716",2828.61796619289,0.53961299395843,0.157069257835064,3.43550992343179,0.000591439802102804,0.00202890209496866
"103875",827.250761428309,-1.5834083311178,0.258844709018905,-6.11721343317919,9.52257900450526e-10,8.09001773807195e-09
"10390",281.792929550578,-0.159663345877952,0.298729691296217,-0.534474310823131,0.59301341819387,0.680841234869502
"10420",33.4390624733041,0.711687949972928,0.447864556730563,1.5890695954337,0.112044681226736,0.184166038100979
"104343",6.87888144948365,1.71145096331416,1.15546129536929,1.48118415577666,0.138557507124086,0.217439060193871
"104344",7.85233085819954,2.85654216542562,1.54217290928489,1.85228397427251,0.0639850557291553,0.11695803628788
"104586",58.4790371813125,0.99789766981605,0.430876157163804,2.31597328658101,0.0205597272919956,0.0454726621483678
"104665",66.5778902556231,0.548708479855145,0.302560347379353,1.81355053498524,0.0697469517522653,0.125348192910219
